t fidelity1 fidelity2 fidelity3
1.472621556370215501e+01 7.028582811593908630e-01 7.028582811145138720e-01 7.028582811462573687e-01
1.482439033412683571e+01 6.084388906949745879e-01 6.084388906508771955e-01 6.084388906774486072e-01
1.492256510455151641e+01 5.091092385314630597e-01 5.091092384894380096e-01 5.091092385106501528e-01
1.502073987497619889e+01 4.090879657630339117e-01 4.090879657244713141e-01 4.090879657400972591e-01
1.511891464540087959e+01 3.126462598395038373e-01 3.126462598060169018e-01 3.126462598154828298e-01
1.521708941582556029e+01 2.239127933965930906e-01 2.239127933691113792e-01 2.239127933729387898e-01
1.531526418625024100e+01 1.466852571955881979e-01 1.466852571747214173e-01 1.466852571738054278e-01
1.541343895667492170e+01 8.425623344832917916e-02 8.425623343488031214e-02 8.425623342952592854e-02
1.551161372709960418e+01 3.926205801007055796e-02 3.926205800407930879e-02 3.926205799554792486e-02
1.560978849752428488e+01 1.356394158939506871e-02 1.356394159022431510e-02 1.356394158052097627e-02
1.570796326794896558e+01 8.166015579253968135e-03 8.166015586503304682e-03 8.166015576775301557e-03
1.580613803837364628e+01 2.317353123932421391e-02 2.317353125201633557e-02 2.317353124391035094e-02
1.590431280879832698e+01 5.779512898174489488e-02 5.779512899803043030e-02 5.779512899419357586e-02
1.600248757922300769e+01 1.103881702046797808e-01 1.103881702230652129e-01 1.103881702250786301e-01
1.610066234964768839e+01 1.785429584630933431e-01 1.785429584819657745e-01 1.785429584911943091e-01
1.619883712007236909e+01 2.592030777310322942e-01 2.592030777479171211e-01 2.592030777668358765e-01
1.629701189049705334e+01 3.488154973609400855e-01 3.488154973738453735e-01 3.488154974038362721e-01
1.639518666092173405e+01 4.435002723242965073e-01 4.435002723317343354e-01 4.435002723731418794e-01
1.649336143134641475e+01 5.392322920952639098e-01 5.392322920950631815e-01 5.392322921493107879e-01
1.659153620177109545e+01 6.320267269591635095e-01 6.320267269496477880e-01 6.320267270173423046e-01
1.668971097219577615e+01 7.181163265600587486e-01 7.181163265406607099e-01 7.181163266206498363e-01
1.678788574262045685e+01 7.941124258061111885e-01 7.941124257758415128e-01 7.941124258679073122e-01
1.688606051304513755e+01 8.571440084250490088e-01 8.571440083832068124e-01 8.571440084869379472e-01
1.698423528346981826e+01 9.049664309843291621e-01 9.049664309317086985e-01 9.049664310445174609e-01
1.708241005389449896e+01 9.360351411381949704e-01 9.360351410754357282e-01 9.360351411953998779e-01
1.718058482431917966e+01 9.495449063173669879e-01 9.495449062338586765e-01 9.495449063792761324e-01
1.727875959474386036e+01 9.454329956480441721e-01 9.454329955573159694e-01 9.454329957049615318e-01
1.737693436516854462e+01 9.243453390440231621e-01 9.243453389534631581e-01 9.243453390924709634e-01
1.747510913559322532e+01 8.875755137323360078e-01 8.875755136395030442e-01 8.875755137759137048e-01
1.757328390601790602e+01 8.369778302376688073e-01 8.369778301492197814e-01 8.369778302734444120e-01
1.767145867644258672e+01 7.748600840390489353e-01 7.748600839563194453e-01 7.748600840684001234e-01
1.776963344686726742e+01 7.038651208345767518e-01 7.038651207581297919e-01 7.038651208582096253e-01
1.786780821729194813e+01 6.268487161106646166e-01 6.268487160434920158e-01 6.268487161284739262e-01
1.796598298771662883e+01 5.467574252153768466e-01 5.467574251572120403e-01 5.467574252286533376e-01
1.806415775814130953e+01 4.665139124693237771e-01 4.665139124221014399e-01 4.665139124777962221e-01
1.816233252856599023e+01 3.889160990846786126e-01 3.889160990464551326e-01 3.889160990904070303e-01
1.826050729899067093e+01 3.165504286054874328e-01 3.165504285779797145e-01 3.165504286075993545e-01
1.835868206941535519e+01 2.517216139883019510e-01 2.517216139698426614e-01 2.517216139881132686e-01
1.845685683984003589e+01 1.964018545410183281e-01 1.964018545298163720e-01 1.964018545395027626e-01
1.855503161026471659e+01 1.521961476930741852e-01 1.521961476884663989e-01 1.521961476903175847e-01
1.865320638068939729e+01 1.203210534447221175e-01 1.203210534451146091e-01 1.203210534412454680e-01
1.875138115111407799e+01 1.015973901412234315e-01 1.015973901437067922e-01 1.015973901383374345e-01
1.884955592153875870e+01 9.645241904687743006e-02 9.645241905034258878e-02 9.645241904454301962e-02
1.894773069196343940e+01 1.049267785244046985e-01 1.049267785269996645e-01 1.049267785230759142e-01
1.904590546238812010e+01 1.266867590045646641e-01 1.266867590036443447e-01 1.266867590052443704e-01
1.914408023281280080e+01 1.610398893709068524e-01 1.610398893648315177e-01 1.610398893739987958e-01
1.924225500323748150e+01 2.069502275663055169e-01 2.069502275542193515e-01 2.069502275717257922e-01
1.934042977366216221e+01 2.630558698506220150e-01 2.630558698301603271e-01 2.630558698594786526e-01
1.943860454408684646e+01 3.276906761707787941e-01 3.276906761411558788e-01 3.276906761832856785e-01
1.953677931451152716e+01 3.989087888150693595e-01 3.989087887755534134e-01 3.989087888315768771e-01
1.963495408493620786e+01 4.745155056613655220e-01 4.745155056121665993e-01 4.745155056817995098e-01
1.973312885536088856e+01 5.521089564358774293e-01 5.521089563754670859e-01 5.521089564618625323e-01
1.983130362578556927e+01 6.291316288407972079e-01 6.291316287713785149e-01 6.291316288709839499e-01
1.992947839621024997e+01 7.029332135795232084e-01 7.029332135021024719e-01 7.029332136144084142e-01
2.002765316663493067e+01 7.708481085063002558e-01 7.708481084200398126e-01 7.708481085473229966e-01
2.012582793705961137e+01 8.302844417368264729e-01 8.302844416465052779e-01 8.302844417821046985e-01
2.022400270748429207e+01 8.788211272772662452e-01 8.788211271822671256e-01 8.788211273286213876e-01
2.032217747790897278e+01 9.143125311262270127e-01 9.143125310312764098e-01 9.143125311818779410e-01
2.042035224833365703e+01 9.349946343531655435e-01 9.349946342583440595e-01 9.349946344148012400e-01
2.051852701875833773e+01 9.395843728022467145e-01 9.395843727133019740e-01 9.395843728668723527e-01
2.061670178918301843e+01 9.273685398603555008e-01 9.273685397785030871e-01 9.273685399287273645e-01
2.071487655960769914e+01 8.982757044001403735e-01 8.982757043265097163e-01 8.982757044720192097e-01
2.081305133003237984e+01 8.529217340937067515e-01 8.529217340333888897e-01 8.529217341662267415e-01
2.091122610045706054e+01 7.926257228922042319e-01 7.926257228434214763e-01 7.926257229665160109e-01
2.100940087088174124e+01 7.193939156491542253e-01 7.193939156152971970e-01 7.193939157223133707e-01
2.110757564130642194e+01 6.358663155428074809e-01 6.358663155229138386e-01 6.358663156143353756e-01
2.120575041173110264e+01 5.452270995866149716e-01 5.452270995816784760e-01 5.452270996539604342e-01
2.130392518215578335e+01 4.510839151380740542e-01 4.510839151457010643e-01 4.510839152006563824e-01
2.140209995258046405e+01 3.573179243307003095e-01 3.573179243496136803e-01 3.573179243864229582e-01
2.150027472300514830e+01 2.679110418255047366e-01 2.679110418535228244e-01 2.679110418727352894e-01
2.159844949342982900e+01 1.867621877892221005e-01 1.867621878220364351e-01 1.867621878275166070e-01
2.169662426385450971e+01 1.175003275507163492e-01 1.175003275855453361e-01 1.175003275785206219e-01
2.179479903427919041e+01 6.330291279110916713e-02 6.330291282463153257e-02 6.330291280739222537e-02
2.189297380470387111e+01 2.673334244032049903e-02 2.673334246740765099e-02 2.673334244568618262e-02
2.199114857512855181e+01 9.606223976347187665e-03 9.606223993755155094e-03 9.606223970573540480e-03
2.208932334555323251e+01 1.288575646056800555e-02 1.288575646561932950e-02 1.288575644385626072e-02
2.218749811597791322e+01 3.662626028502662806e-02 3.662626027378702853e-02 3.662626025923985951e-02
2.228567288640259392e+01 7.995937029570562848e-02 7.995937026630921263e-02 7.995937026228393252e-02
2.238384765682727462e+01 1.411257531052529102e-01 1.411257530570206586e-01 1.411257530658085457e-01
2.248202242725195532e+01 2.175517451975223782e-01 2.175517451295090887e-01 2.175517451548995285e-01
2.258019719767663958e+01 3.059689055258881241e-01 3.059689054384414630e-01 3.059689054829908272e-01
2.267837196810132028e+01 4.025668052467471503e-01 4.025668051421858462e-01 4.025668052059951374e-01
2.277654673852600098e+01 5.031713410985760859e-01 5.031713409791388480e-01 5.031713410630056504e-01
2.287472150895068168e+01 6.034419968711033366e-01 6.034419967397954832e-01 6.034419968438609061e-01
