gt pop_n1 pop_n2 pop_n3 pop_n4
1.979203371761569796e+00 8.422514497246372800e-01 5.314045405834804114e-01 1.147392747364712334e-01 9.960545836308913881e-01
1.994911335029518673e+00 8.306330198396149056e-01 5.626769789467004346e-01 8.645595125913077550e-02 9.842855727099633079e-01
2.010619298297467772e+00 8.186882707826037553e-01 5.937018559871498624e-01 6.184254438954342459e-02 9.648790680303858114e-01
2.026327261565416649e+00 8.064289944390183873e-01 6.243566477550230864e-01 4.111902540279618185e-02 9.381404224228927502e-01
2.042035224833365525e+00 7.938673247883973882e-01 6.545203352067501257e-01 2.446917816394375902e-02 9.044926619636622922e-01
2.057743188101314402e+00 7.810156514418997720e-01 6.840737510361381002e-01 1.203966096972107318e-02 8.644663363246563037e-01
2.073451151369263279e+00 7.678866334963582174e-01 7.129005321818143726e-01 3.941479084646385724e-03 8.186926284351389027e-01
2.089159114637212600e+00 7.544932196709192018e-01 7.408876076090755713e-01 2.464109675375400163e-04 7.678919155534841279e-01
2.104867077905161477e+00 7.408486295700168478e-01 7.679240807561830140e-01 9.872841503930991809e-04 7.128668485174076697e-01
2.120575041173110353e+00 7.269663515271970189e-01 7.939015917977324532e-01 6.157548028871076204e-03 6.544852538046699308e-01
2.136283004441059230e+00 7.128601096118778457e-01 8.187199132356330900e-01 1.571153101866197555e-02 5.936680120496772295e-01
2.151990967709008107e+00 6.985437931676310441e-01 8.422815436313670912e-01 2.956428299780383684e-02 5.313760349474011546e-01
2.167698930976956984e+00 6.840315161036543135e-01 8.644925693844887071e-01 4.759235761202054021e-02 4.685861966361841713e-01
2.183406894244906304e+00 6.693375992405541375e-01 8.852642925397971041e-01 6.963634904208390597e-02 4.062882498983180768e-01
2.199114857512855181e+00 6.544765539771554286e-01 9.045161661549193655e-01 9.550016396694505083e-02 3.454723381697598628e-01
2.214822820780804058e+00 6.394630902065889799e-01 9.221714899317113856e-01 1.249550969438316395e-01 2.870912104196945425e-01
2.230530784048752935e+00 6.243119994364507708e-01 9.381605283831381259e-01 1.577380561021397010e-01 2.320667868421831814e-01
2.246238747316702256e+00 6.090382108713721099e-01 9.524201541009214012e-01 1.935570824577558247e-01 1.812706053191508737e-01
2.261946710584651132e+00 5.936567924251887618e-01 9.648942155374862217e-01 2.320974986942590523e-01 1.354998243294063265e-01
2.277654673852600009e+00 5.781829282900203815e-01 9.755334410183551519e-01 2.730143828721015575e-01 9.547856909411103765e-02
2.293362637120548886e+00 5.626319265060606423e-01 9.842959446449578431e-01 3.159471868955519569e-01 6.183596041057845549e-02
2.309070600388497763e+00 5.470191393762708909e-01 9.911470342617816343e-01 3.605139507058773285e-01 3.510332532731003791e-02
2.324778563656446639e+00 5.313599415098678724e-01 9.960597146073909558e-01 4.063157046942787454e-01 1.570246588175499419e-02
2.340486526924395960e+00 5.156697752617618313e-01 9.990145768831385498e-01 4.529540017089970227e-01 3.939564132574973135e-03
2.356194490192344837e+00 4.999641267600232197e-01 9.999999973040603063e-01 5.000058599831895823e-01 1.337585364549259255e-08
2.371902453460293714e+00 4.842585151190249571e-01 9.990121339529509648e-01 5.470597748300819463e-01 3.945848610777680232e-03
2.387610416728242591e+00 4.685684766493167785e-01 9.960548857605999729e-01 5.936986435962958719e-01 1.571527662541701356e-02
2.403318379996191911e+00 4.529094607754082791e-01 9.911398022308151035e-01 6.395028041478501013e-01 3.512220115342830351e-02
2.419026343264140788e+00 4.372969023944508482e-01 9.842862705492823050e-01 6.840679076949967019e-01 6.186123333629512527e-02
2.434734306532089665e+00 4.217462071741023832e-01 9.755213909234486946e-01 7.270021758953598701e-01 9.550934194611349071e-02
2.450442269800038542e+00 4.062727295089219037e-01 9.648797781228702908e-01 7.679187647108870474e-01 1.355360001485626520e-01
