t fidelity9 fidelity25
1.531526418625024144e+00 9.861882954055721795e-01 9.617646498826160073e-01
1.539380400258998582e+00 9.911406820035147947e-01 9.753319589137688927e-01
1.547234381892973021e+00 9.950024605832602509e-01 9.859695076059600272e-01
1.555088363526947459e+00 9.977650368094160838e-01 9.936095875296155899e-01
1.562942345160921898e+00 9.994222779709915905e-01 9.982069649860241256e-01
1.570796326794896558e+00 9.999705373222951277e-01 9.997338805452165023e-01
1.578650308428870996e+00 9.994086734555476248e-01 9.981796671195349857e-01
1.586504290062845657e+00 9.977380658989363216e-01 9.935545042431583873e-01
1.594358271696820095e+00 9.949626268256482886e-01 9.858863172732473812e-01
1.602212253330794534e+00 9.910888030432584150e-01 9.752226268960738631e-01
1.610066234964768972e+00 9.861250532460568152e-01 9.616289644837305861e-01
1.617920216598743410e+00 9.800821563947319515e-01 9.451894056209230177e-01
1.625774198232717849e+00 9.729734725395755568e-01 9.260053395313979641e-01
1.633628179866692287e+00 9.648146891784605828e-01 9.041947970456072348e-01
1.641482161500666725e+00 9.556237783735068714e-01 8.798918611668657963e-01
1.649336143134641386e+00 9.454209479326618482e-01 8.532459804622370969e-01
1.657190124768615824e+00 9.342287206845426573e-01 8.244217236730703169e-01
1.665044106402590485e+00 9.220722129674923107e-01 7.935970441428713551e-01
1.672898088036564923e+00 9.089784828374216641e-01 7.609624957363821940e-01
1.680752069670539361e+00 8.949766855441008140e-01 7.267195770787572284e-01
1.688606051304513800e+00 8.800980420892220435e-01 6.910797836779161152e-01
1.696460032938488238e+00 8.643757784022261248e-01 6.542632363015368213e-01
1.704314014572462677e+00 8.478450427504105047e-01 6.164966953795593119e-01
1.712167996206437115e+00 8.305422869991049284e-01 5.780115712619743329e-01
1.720021977840411553e+00 8.125056412426757690e-01 5.390425913412829617e-01
1.727875959474386214e+00 7.937749495425685531e-01 4.998266713208669998e-01
1.735729941108360652e+00 7.743914921986519984e-01 4.606086750449396860e-01
1.743583922742335313e+00 7.543978684878257512e-01 4.216345800681177702e-01
1.751437904376309751e+00 7.338378730392494109e-01 3.831515671408733947e-01
1.759291886010284189e+00 7.127569326556980611e-01 3.453987726391644641e-01
1.767145867644258628e+00 6.912027885650912085e-01 3.086040470583539808e-01
1.774999849278233066e+00 6.692235895535273427e-01 2.729879690467388875e-01
1.782853830912207505e+00 6.468685359470525142e-01 2.387613856511420218e-01
1.790707812546181943e+00 6.241878347894778134e-01 2.061403571682732250e-01
1.798561794180156381e+00 6.012326134315020276e-01 1.753292936057643248e-01
1.806415775814130820e+00 5.780547443426816701e-01 1.465246352029453136e-01
1.814269757448105480e+00 5.547053729777217113e-01 1.199043463666184250e-01
1.822123739082080141e+00 5.312362125632570375e-01 9.562930034096613074e-02
1.829977720716054579e+00 5.076994335156563842e-01 7.384632401053765893e-02
1.837831702350029017e+00 4.841471860280001649e-01 5.468629967662172464e-02
1.845685683984003456e+00 4.606314315650444358e-01 3.827047966022846526e-02
1.853539665617977894e+00 4.372037680844082508e-01 2.470120336491650817e-02
1.861393647251952332e+00 4.139158928858712727e-01 1.406405696337660778e-02
1.869247628885926771e+00 3.908198382930155867e-01 6.424418512571514195e-03
1.877101610519901209e+00 3.679663980311740912e-01 1.828551736957574701e-03
1.884955592153875648e+00 3.454056341420965737e-01 3.036907121712112867e-04
1.892809573787850308e+00 3.231867454168885212e-01 1.858297745294787764e-03
1.900663555421824968e+00 3.013579217300602631e-01 6.483935723650982585e-03
1.908517537055799407e+00 2.799664645860493462e-01 1.415252164001240542e-02
1.916371518689773845e+00 2.590611031750446602e-01 2.481733026948011733e-02
1.924225500323748284e+00 2.386889582639155349e-01 3.841347882617255488e-02
1.932079481957722500e+00 2.188958670981987764e-01 5.485610359684228721e-02
1.939933463591697160e+00 1.997267710229290172e-01 7.404048779104707712e-02
1.947787445225671821e+00 1.812256858588134900e-01 9.584700664722577146e-02
1.955641426859646037e+00 1.634356782655094487e-01 1.201455059573380696e-01
1.963495408493620697e+00 1.463963660555237800e-01 1.467913606287363226e-01
1.971349390127595136e+00 1.301437490595911406e-01 1.756174835059131911e-01
