t fidelity1 fidelity2
1.875138115111407799e+01 3.083692705485551605e-02 3.083692705485551605e-02
1.884955592153875870e+01 2.217263577362638127e-02 2.217263577362638127e-02
1.894773069196343940e+01 3.144553979818656003e-02 3.144553979818656003e-02
1.904590546238812010e+01 5.830311903518476530e-02 5.830311903518476530e-02
1.914408023281280080e+01 1.017497146142906372e-01 1.017497146142906372e-01
1.924225500323748150e+01 1.601820197804175727e-01 1.601820197804175727e-01
1.934042977366216221e+01 2.314455947253083457e-01 2.314455947253083457e-01
1.943860454408684646e+01 3.129106261987961157e-01 3.129106261987961157e-01
1.953677931451152716e+01 4.015645657611208175e-01 4.015645657611208175e-01
1.963495408493620786e+01 4.941187420044930723e-01 4.941187420044930723e-01
1.973312885536088856e+01 5.871255638282333322e-01 5.871255638282333322e-01
1.983130362578556927e+01 6.771025274836673935e-01 6.771025274836673935e-01
1.992947839621024997e+01 7.606589248196269359e-01 7.606589248196269359e-01
2.002765316663493067e+01 8.346209402426333357e-01 8.346209402426333357e-01
2.012582793705961137e+01 8.961507357706002264e-01 8.961507357706002264e-01
2.022400270748429207e+01 9.428551724538078993e-01 9.428551724538078993e-01
2.032217747790897278e+01 9.728800149078199455e-01 9.728800149078199455e-01
2.042035224833365703e+01 9.849858219553162542e-01 9.849858219553162542e-01
2.051852701875833773e+01 9.786022426818897779e-01 9.786022426818897779e-01
2.061670178918301843e+01 9.538581085501387502e-01 9.538581085501387502e-01
2.071487655960769914e+01 9.115855252676186016e-01 9.115855252676186016e-01
2.081305133003237984e+01 8.532971007710065114e-01 8.532971007710065114e-01
2.091122610045706054e+01 7.811364672240802554e-01 7.811364672240802554e-01
2.100940087088174124e+01 6.978033267236238846e-01 6.978033267236238846e-01
2.110757564130642194e+01 6.064553274511055303e-01 6.064553274511055303e-01
2.120575041173110264e+01 5.105901099395160347e-01 5.105901099395160347e-01
2.130392518215578335e+01 4.139118007985851944e-01 4.139118007985851944e-01
2.140209995258046405e+01 3.201870236303017148e-01 3.201870236303017148e-01
2.150027472300514830e+01 2.330960981165886847e-01 2.330960981165886847e-01
2.159844949342982900e+01 1.560854696917768070e-01 1.560854696917768070e-01
2.169662426385450971e+01 9.222752503953482450e-02 9.222752503953482450e-02
2.179479903427919041e+01 4.409378623354207050e-02 4.409378623354207050e-02
