gt pop_n1 pop_n2 pop_mixed
3.000220984178252337e+00 1.984052363301690852e-02 1.982705441126440121e-02 1.984678437600071940e-02
3.015928947446201658e+00 1.569710110729108377e-02 1.568492955448392082e-02 1.570268329919578820e-02
3.031636910714150535e+00 1.203163726788184298e-02 1.202082541539816092e-02 1.203660908837780180e-02
3.047344873982099411e+00 8.847754202431157983e-03 8.838514200212199690e-03 8.852002542072207741e-03
3.063052837250048288e+00 6.148600687163630410e-03 6.140903508896932914e-03 6.152160996881683372e-03
3.078760800517997165e+00 3.936832833428792477e-03 3.930591901639473792e-03 3.939678720401334350e-03
3.094468763785946042e+00 2.214630975120201583e-03 2.209951671477142915e-03 2.216801896667515426e-03
3.110176727053894918e+00 9.836960038284469406e-04 9.805798540795268060e-04 9.851498266419153431e-04
3.125884690321843795e+00 2.452447494781377938e-04 2.436918038726581723e-04 2.459726178801231061e-04
3.141592653589793116e+00 7.200370545692149035e-09 1.000229118378510206e-08 2.091310676054990389e-09
