t fidelity1
2.411172361630165906e+00 4.503700102063595279e-01
2.419026343264140788e+00 4.451041968924050463e-01
2.426880324898115227e+00 4.405380404037004816e-01
2.434734306532089665e+00 4.367440185142531517e-01
2.442588288166064103e+00 4.337890320008957468e-01
2.450442269800038542e+00 4.317325198351765203e-01
2.458296251434012980e+00 4.306266168219136103e-01
2.466150233067987418e+00 4.305161716512430625e-01
2.474004214701961857e+00 4.314390400552376437e-01
2.481858196335936295e+00 4.334247266948609290e-01
2.489712177969911178e+00 4.364942462019600899e-01
2.497566159603885616e+00 4.406627331845295870e-01
2.505420141237860054e+00 4.459370028106859341e-01
2.513274122871834493e+00 4.523153337630307913e-01
2.521128104505808931e+00 4.597861595718475969e-01
2.528982086139783370e+00 4.683290764656952154e-01
2.536836067773757808e+00 4.779152965556744403e-01
2.544690049407732246e+00 4.885093576087611855e-01
2.552544031041706685e+00 5.000668352931501026e-01
2.560398012675681567e+00 5.125353072246088271e-01
2.568251994309655561e+00 5.258545878395569639e-01
2.576105975943630444e+00 5.399566305409484457e-01
2.583959957577604882e+00 5.547671874607802422e-01
2.591813939211579321e+00 5.702061678852964333e-01
2.599667920845553759e+00 5.861870496732143332e-01
2.607521902479528197e+00 6.026175849426739228e-01
2.615375884113502636e+00 6.194001927193142354e-01
2.623229865747477074e+00 6.364324665753593457e-01
2.631083847381451957e+00 6.536090866646829811e-01
2.638937829015425951e+00 6.708214842557026492e-01
2.646791810649400833e+00 6.879584764997346280e-01
2.654645792283375272e+00 7.049083063941058436e-01
2.662499773917349710e+00 7.215584249168003339e-01
2.670353755551324149e+00 7.377958116791321075e-01
2.678207737185298587e+00 7.535057610963629138e-01
2.686061718819273025e+00 7.685742436356257645e-01
2.693915700453247464e+00 7.828894254270533093e-01
2.701769682087221902e+00 7.963451576907527585e-01
2.709623663721196341e+00 8.088385354889577883e-01
2.717477645355171223e+00 8.202703623510618769e-01
2.725331626989145217e+00 8.305446934667596315e-01
2.733185608623120100e+00 8.395715978653079947e-01
2.741039590257094538e+00 8.472657121246218725e-01
2.748893571891068976e+00 8.535465454869195501e-01
2.756747553525043415e+00 8.583399034533577554e-01
2.764601535159017853e+00 8.615834438433849218e-01
2.772455516792992292e+00 8.632261153990336000e-01
2.780309498426966730e+00 8.632267671310814849e-01
2.788163480060941612e+00 8.615460545013270410e-01
2.796017461694915607e+00 8.581520448200750106e-01
2.803871443328890489e+00 8.530220164879248612e-01
2.811725424962864484e+00 8.461477066886611276e-01
2.819579406596839366e+00 8.375309953460883250e-01
2.827433388230813804e+00 8.271838056150567775e-01
2.835287369864788243e+00 8.151243936948830981e-01
2.843141351498762681e+00 8.013818956062465082e-01
2.850995333132737120e+00 7.859961268157340530e-01
2.858849314766711558e+00 7.690168857782172518e-01
2.866703296400685996e+00 7.505028302986925803e-01
2.874557278034660879e+00 7.305218786006508758e-01
2.882411259668634873e+00 7.091505803506245043e-01
2.890265241302609756e+00 6.864739417754763817e-01
2.898119222936584194e+00 6.625855321697735612e-01
2.905973204570558632e+00 6.375870292858478727e-01
2.913827186204533071e+00 6.115864742460607184e-01
2.921681167838507509e+00 5.846980550390598053e-01
2.929535149472481947e+00 5.570416718684396695e-01
2.937389131106456386e+00 5.287429168548223313e-01
2.945243112740431268e+00 4.999323878357773143e-01
2.953097094374405263e+00 4.707448641633754649e-01
2.960951076008380145e+00 4.413180401536317410e-01
2.968805057642354139e+00 4.117914830927948966e-01
2.976659039276329022e+00 3.823070170543349522e-01
2.984513020910303460e+00 3.530071538034879053e-01
2.992367002544277899e+00 3.240334489330449763e-01
3.000220984178252337e+00 2.955268809574564948e-01
3.008074965812226775e+00 2.676269874625933354e-01
3.015928947446201658e+00 2.404727155268571170e-01
3.023782929080175652e+00 2.142001738017370038e-01
3.031636910714150535e+00 1.889420576890595838e-01
3.039490892348124529e+00 1.648241000421262759e-01
3.047344873982099411e+00 1.419661870138282656e-01
3.055198855616073850e+00 1.204816672108429410e-01
3.063052837250048288e+00 1.004791496702021614e-01
3.070906818884022726e+00 8.206093775981884719e-02
3.078760800517997165e+00 6.532104516524869786e-02
3.086614782151971603e+00 5.034489449611879996e-02
3.094468763785946042e+00 3.720844948606637920e-02
3.102322745419920924e+00 2.597817875549396360e-02
3.110176727053894918e+00 1.671088630886129536e-02
3.118030708687869801e+00 9.454668685460656391e-03
3.125884690321843795e+00 4.246487738644172914e-03
3.133738671955818678e+00 1.112608272150828522e-03
3.141592653589793116e+00 6.963455524372032300e-05
